edgeId,edge_coordinates,connected_edges
198871211,"[(24.474240084835422, 54.39137891167291), (24.474401394311755, 54.39121829362773), (24.474796778196854, 54.39086685819331), (24.47576339913019, 54.39023411683949), (24.476644675686906, 54.389603718453785), (24.477695186531804, 54.38882770882351)]","['683409111#0', '108742238#1']"
204778218,"[(24.454062648456045, 54.39004536469833), (24.454070365091624, 54.39003751487935)]","['-204778218', '24206722#3', '24206721#2', '-204778218']"
227086596,"[(24.47240569123294, 54.39181533778832), (24.47240684456261, 54.39181679321398)]","['418671572#18', '519903195', '519903197']"
227300452#0,"[(24.472854944755632, 54.39131152553497), (24.4728305266127, 54.39131390276753), (24.472715762519577, 54.39129536334936), (24.4726808800862, 54.391282375388826)]","['150783624#2', '227300452#1']"
227300452#1,"[(24.47264103023201, 54.39126396750165), (24.47255265028696, 54.3912157929609), (24.472540977360264, 54.39120360835949)]","['227300452#0', '473189453#0']"
227300453#0,"[(24.471852362311406, 54.39202855831892), (24.471776624126825, 54.392077404767896)]","['112672266#1', '473189451#1', '227300453#1']"
227300453#1,"[(24.47163393851086, 54.39216934462157), (24.470449413125976, 54.392957957677346), (24.46937229992409, 54.39368458393145), (24.469167718310093, 54.39381955692384)]","['227300453#0', '817157492#1', '304107570#0']"
227359894,"[(24.472938114595262, 54.392009082878445), (24.473910346796476, 54.391491821517825)]","['227359906', '227359897']"
227359897,"[(24.4739122687159, 54.39149074642765), (24.47493954393977, 54.39089453335371)]","['227359894', '227359907']"
227359906,"[(24.472585979998485, 54.39213433430301), (24.4729343975684, 54.392010737338914)]","['132913628#0', '227359894']"
227359907,"[(24.474941867599192, 54.39089320341831), (24.475404832200077, 54.3906320346204), (24.475868685474577, 54.390302208479724), (24.476599981673633, 54.3898506899828)]","['227359897', '168757658']"
227751885#0,"[(24.479908092944193, 54.38712087195936), (24.478826518158225, 54.38786140853126), (24.477742730895784, 54.388549956614504)]","['683401694', '227751885#1']"
227751885#1,"[(24.477599473071948, 54.38865039823924), (24.476783909740316, 54.38921569605296), (24.475983708887355, 54.38969610560793), (24.47528803230075, 54.39014057600447)]","['227751885#0', '482272437']"
24150688#0,"[(24.453298684083386, 54.35317354321843), (24.453410351615094, 54.353025482631686), (24.453585504050526, 54.35276103179652), (24.453655073065704, 54.35263130247929)]","['682777772#7', '24150688#1']"
24150688#1,"[(24.45368163323509, 54.35258125140166), (24.453702772401726, 54.35254117336478)]","['24150688#0', '682777576#0', '538096827']"
24156174#0,"[(24.449570264813847, 54.39028807460928), (24.452080409929735, 54.387921982503094)]","['398394926#3', '683444393', '24206722#0', '24156174#1']"
24156174#1,"[(24.452211702072162, 54.387800192614456), (24.452303553515794, 54.38771500718633)]","['24156174#0', '24156174#2']"
24156174#2,"[(24.452415054953764, 54.38761137280207), (24.45248025208925, 54.38754931597263)]","['24156174#1', '24206721#7', '24156174#3']"
24156174#3,"[(24.452514237590794, 54.38751694016929), (24.452681479175737, 54.387357630558895)]","['24156174#2', '24206738#0', '24156174#4']"
24156174#4,"[(24.45276686456867, 54.38727824729805), (24.45445419686271, 54.38570941783698)]","['24156174#3', '24156174#5']"
24156174#5,"[(24.454536549841073, 54.385632190152464), (24.454936094798377, 54.38527272728751)]","['24156174#4', '24206737', '24206729#0', '24156174#6']"
24156174#6,"[(24.454985112710517, 54.38522241503897), (24.455044777069187, 54.38516406882496)]","['24156174#5', '24156174#7']"
24156174#7,"[(24.45509569814954, 54.38511421017927), (24.45526805429484, 54.38494551994636)]","['24156174#6', '24206728#7', '24156174#8']"
24156174#8,"[(24.455300595113698, 54.38491314788846), (24.455556739539457, 54.38465243310895)]","['24156174#7', '-392905237#1', '24156174#9']"
24156174#9,"[(24.455627041526196, 54.3845855595189), (24.456854213828805, 54.38344108325259)]","['24156174#8', '392905237#1', '482335645#0']"
24156176,"[(24.44906781122075, 54.3905441289637), (24.448266431205194, 54.3913125749246), (24.44658040582878, 54.39289187018761), (24.444713203228957, 54.39469286130703)]",['683444394']
24156179,"[(24.444785509938697, 54.39480088538025), (24.445299213789486, 54.394306870183534), (24.446688417252325, 54.392983310731736), (24.448402193521776, 54.39137766092162), (24.449137612845995, 54.39068461877217)]",['683444393']
24156191#0,"[(24.44403477996241, 54.395514158285366), (24.44464502555665, 54.395080966747386), (24.445192219341585, 54.39467095534555), (24.445663701837336, 54.39432199870796)]",['24156191#1']
24156191#1,"[(24.445701131940783, 54.39429431278676), (24.4458885045196, 54.394155681169075), (24.44599188834175, 54.394063834319745)]","['24156191#0', '24156191#2']"
24156191#2,"[(24.446026913086843, 54.39403274697373), (24.446196215412495, 54.39388255661686), (24.44672238522882, 54.39337890886502)]","['24156191#1', '24178352#0', '24156191#3']"
24156191#3,"[(24.44681785034386, 54.39327539247404), (24.44698804199961, 54.393090476758246)]","['24156191#2', '398394919']"
24156192#0,"[(24.449440270253426, 54.39007487839711), (24.44937778279893, 54.390125365471526), (24.44907802423046, 54.39035417168767), (24.448502801831335, 54.39074482717671), (24.447764020527526, 54.3914065320717)]","['399098934#13', '24156192#1']"
24156192#1,"[(24.447729180276607, 54.391437813967514), (24.447512132452815, 54.391632275681545)]","['24156192#0', '24178350', '24156192#2']"
24156192#2,"[(24.44744987064065, 54.39169064404777), (24.447231773593312, 54.391897549329215)]","['24156192#1', '398394921']"
24156847#0,"[(24.45922404167761, 54.37242846678131), (24.45928531082902, 54.37237059710171)]","['434371589#11', '473176590', '24156847#1']"
24156847#1,"[(24.459395685797496, 54.372266449375545), (24.459437865749674, 54.37222672430115)]","['24156847#0', '91577723#1', '-24189967#3', '24156847#2']"
24156847#10,"[(24.461888184707195, 54.36991356989201), (24.461941905665487, 54.36986285549307)]","['24156847#9', '473415189', '177263171#0', '24156847#11']"
24156847#11,"[(24.461995715108316, 54.36981204060668), (24.463309253749298, 54.36857209198373)]","['24156847#10', '24156847#12']"
24156847#12,"[(24.46340976885858, 54.36847721419964), (24.463966596209136, 54.36795160283072)]","['177263171#1', '24156847#11', '478883466', '24156847#13']"
24156847#13,"[(24.464020139345948, 54.36790108763515), (24.464034702099198, 54.36788737433555)]","['24156847#12', '24156847#14']"
24156847#14,"[(24.46408957620444, 54.36783554952288), (24.465790805204627, 54.36622678538492)]","['177263164', '24156847#13', '109859946#0', '682791874#0']"
24156847#2,"[(24.459536162434276, 54.3721338705756), (24.45978754462501, 54.37189654045426)]","['24156847#1', '24189967#3', '24189967#0', '24156847#3']"
24156847#3,"[(24.459885932995864, 54.371803782902134), (24.45997996729957, 54.37171496113048)]","['-24189967#0', '24156847#2', '494861768', '24156847#4']"
24156847#4,"[(24.460029780974413, 54.37166787914336), (24.4603466061977, 54.371368842848774)]","['24156847#3', '24156847#5']"
24156847#5,"[(24.460394200209038, 54.371323877350164), (24.460423147752863, 54.37129655465972)]","['24156847#4', '494861768', '473176592#0', '24156847#6']"
24156847#6,"[(24.460521533953546, 54.371203697594034), (24.460632350461736, 54.371099045594484)]","['-473176592#0', '24156847#5', '494861767', '24156847#7']"
24156847#7,"[(24.460690068429734, 54.37104460087596), (24.461550318504518, 54.37023247586175)]","['24156847#6', '24156847#8']"
24156847#8,"[(24.461600756297955, 54.3701849852931), (24.46168946020201, 54.370101103425526)]","['24156847#7', '494861767', '473415190', '24156847#9']"
